"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","browser_Browser","browser_Version","browser_Operating.System","browser_Resolution","mobile_cont","studyintro_time_First.Click","studyintro_time_Last.Click","studyintro_time_Page.Submit","studyintro_time_Click.Count","cleanser_time_First.Click","cleanser_time_Last.Click","cleanser_time_Page.Submit","cleanser_time_Click.Count","effectiveness_time_First.Click","effectiveness_time_Last.Click","effectiveness_time_Page.Submit","effectiveness_time_Click.Count","effect1","effect2","effect3","effect4","free_response","thought_time_First.Click","thought_time_Last.Click","thought_time_Page.Submit","thought_time_Click.Count","cleaning_ability","active_ingred","anti_bacterial","effectiveness","smell","ways_to_use","color","cost","package_apperance","ad_appearance","stores","Dettol","other_versions","other_products","redisplay_time_First.Click","redisplay_time_Last.Click","redisplay_time_Page.Submit","redisplay_time_Click.Count","entitativity_time_First.Click","entitativity_time_Last.Click","entitativity_time_Page.Submit","entitativity_time_Click.Count","coherent","unified","typified","features","resources","similar","representative","purchase_time_First.Click","purchase_time_Last.Click","purchase_time_Page.Submit","purchase_time_Click.Count","purchase","like_brand","ad_favorability","ad_interesting","wtp_1","amt_produced","widely_avail","popular","brand_like_group","effort","realistic","familiar","heard_of","num_bottles_ck","att_check","freq_use","age","gender","english","lookup","prev_taken","purpose","cond","attributesalience_DO","mturk_num","ip_num","paid","count_mturk","mturk_dup","count_ip","ip_dup","res1","res2","phone"
"2020-07-07 08:44:47","2020-07-07 08:49:20","0","100","272","1","2020-07-07 08:49:20","R_cH11zm4wL0RGe65","","","","","anonymous","EN","Safari","13.1","Macintosh","1440x900","1","0","0","13.823","0","0","0","16.574","0","1.709","10.081","12.102","5","6","6","6","7","how I know of the brand, and how good it was","6.079","42.988","45.158","25","7","8","7","7","5","6","2","4","6","3","7","7","7","7","0","0","8.435","0","2.891","20.296","21.094","16","4","8","5","6","6","5","6","8.247","26.095","26.942","8","7","7","5","5","6.46","6","6","7","6","6","7","8","2","1","2","4","35","1","2","1","1","","clean_low","thought_time|thought_intro|cleaning_ability|effectiveness|stores|smell|Dettol|other_versions|package_apperance|ad_appearance|anti_bacterial|color|active_ingred|ways_to_use|cost|other_products",1,1,1,1,0,1,0,1440,900,0
"2020-07-07 08:44:48","2020-07-07 08:50:22","0","100","333","1","2020-07-07 08:50:22","R_1lufBuCUJMK1zGB","","","","","anonymous","EN","Chrome","83.0.4103.116","Windows NT 10.0","1366x768","1","7.868","7.868","12.485","1","14.658","14.658","16.05","1","4.635","14.251","14.948","4","9","9","8","9","Effectiveness of dettol","6.139","57.628","60.81","20","9","8","9","8","9","9","8","7","3","9","9","9","9","8","0","0","9.433","0","11.422","26.294","28.362","10","7","8","8","5","8","8","7","3.012","18.458","19.601","6","9","9","9","9","3.78","9","9","7","8","3","9","9","2","5","2","9","32","1","2","1","1","consumer opinions","clean_high","thought_time|thought_intro|anti_bacterial|package_apperance|cleaning_ability|ways_to_use|color|stores|ad_appearance|effectiveness|other_versions|cost|active_ingred|other_products|Dettol|smell",2,2,1,1,0,1,0,1366,768,0
"2020-07-07 08:44:49","2020-07-07 08:50:43","0","100","353","1","2020-07-07 08:50:43","R_YS7C1zwE8ISBdzb","","","","","anonymous","EN","Chrome","83.0.4103.119","CrOS x86_64 13020.87.0","1366x768","1","0","0","11.047","0","6.627","15.858","17.044","2","4.166","16.031","16.768","7","8","8","9","8","I liked the look of the packaging on the ad. It gave off that vibe of it being a good cleaner. ","11.191","65.223","66.301","24","9","8","5","8","1","7","5","1","9","4","2","9","2","2","4.042","4.26","5.503","2","8.015","43.873","44.815","11","8","8","7","9","8","7","9","3.729","31.659","33.325","7","8","8","8","5","3.51","8","9","7","4","9","7","1","1","1","2","8","41","1","2","1","1","I honestly have no idea. I'm terrible at figuring out the motives of others. ","clean_low","thought_time|thought_intro|stores|other_products|ad_appearance|other_versions|effectiveness|ways_to_use|anti_bacterial|active_ingred|color|Dettol|cleaning_ability|package_apperance|smell|cost",3,3,1,1,0,1,0,1366,768,0
"2020-07-07 08:44:50","2020-07-07 08:52:31","0","100","461","1","2020-07-07 08:52:31","R_3M3xzOuiFAwuF2d","","","","","anonymous","EN","Chrome","83.0.4103.116","Windows NT 10.0","1536x864","1","0","0","14.657","0","0","0","43.976","0","5.179","24.563","32.511","5","7","7","7","6","I thought that the multiple bottles in the picture might mean it would actually be in stock at the store.","11.644","72.025","85.011","14","6","6","6","7","1","6","7","1","8","9","8","4","1","6","0","0","9.169","0","13.918","56.198","57.7","7","6","4","5","8","7","7","7","2.415","21.569","25.556","6","6","6","6","5","3","9","9","7","2","9","7","1","1","7","2","8","48","2","2","1","1","To see how people viewed ads.","clean_high","thought_time|thought_intro|Dettol|anti_bacterial|cost|ways_to_use|other_versions|effectiveness|smell|cleaning_ability|color|active_ingred|package_apperance|stores|other_products|ad_appearance",4,4,1,1,0,1,0,1536,864,0
"2020-07-07 08:44:54","2020-07-07 08:50:35","0","100","341","1","2020-07-07 08:50:36","R_vPvpZXwzZrcSlI5","","","","","anonymous","EN","Chrome","83.0.4103.116","Windows NT 10.0","1366x768","1","8.084","8.62","9.617","2","4.64","5.105","31.5","2","5.457","17.761","18.888","6","3","4","3","2","What is the product made of","8.479","50.607","51.369","19","5","8","7","8","2","3","2","2","6","8","3","2","1","1","0","0","6.346","0","7.894","45.318","46.068","14","1","1","1","4","1","7","7","2.706","26.122","26.526","7","2","3","1","1","3.49","5","4","2","1","8","1","1","1","5","2","9","37","1","2","1","1","Getting a reaction to an ad","clean_high","thought_time|thought_intro|smell|active_ingred|color|Dettol|ways_to_use|anti_bacterial|other_versions|cleaning_ability|ad_appearance|cost|other_products|stores|effectiveness|package_apperance",5,5,1,1,0,1,0,1366,768,0
"2020-07-07 08:44:54","2020-07-07 08:52:01","0","100","426","1","2020-07-07 08:52:01","R_2YnR4PHCFAQg2GM","","","","","anonymous","EN","Chrome","86.0.4195.0","Windows NT 10.0","1366x768","1","2.951","2.951","12.511","1","0","0","12.39","0","2.276","16.167","17.278","17","8","8","7","9","Hand washing","8.942","50.335","59.039","26","8","8","9","7","8","8","8","8","9","7","9","9","9","7","0","0","5.923","0","2.628","18.437","20.429","18","7","8","8","9","8","8","9","2.14","17.582","23.111","18","8","9","8","7","14.24","8","9","7","9","8","9","7","2","8","9","8","66","1","2","2","2","To clean the hand
","clean_high","thought_time|thought_intro|ad_appearance|active_ingred|anti_bacterial|smell|Dettol|other_products|ways_to_use|stores|cleaning_ability|other_versions|package_apperance|effectiveness|cost|color",6,6,1,1,0,1,0,1366,768,0
"2020-07-07 08:44:55","2020-07-07 08:48:04","0","100","188","1","2020-07-07 08:48:04","R_3ls2vD7dL4u716S","","","","","anonymous","EN","Safari","13.1.1","Macintosh","1440x900","1","1.29","1.29","2.001","1","0","0","22.758","0","9.004","11.932","12.744","4","6","5","6","6","how well it would clean ","0.841","18.376","19.001","19","5","5","6","6","6","5","6","6","5","6","5","6","5","6","0","0","16.741","0","0.727","10.121","11.328","11","5","6","6","5","6","7","6","1.049","7.367","8.839","6","6","5","5","6","1.92","5","6","5","6","6","5","5","1","4","2","5","36","1","2","1","1","pricing ","clean_high","thought_time|thought_intro|smell|active_ingred|effectiveness|Dettol|package_apperance|cost|other_products|other_versions|cleaning_ability|ad_appearance|anti_bacterial|stores|ways_to_use|color",7,7,0,1,0,1,0,1440,900,0
"2020-07-07 08:44:56","2020-07-07 08:48:02","0","100","186","1","2020-07-07 08:48:03","R_2XcHJDKEdPABkJy","","","","","anonymous","EN","Safari","13.1.1","Macintosh","1920x1080","1","0","0","1.269","0","1.936","8.135","29.112","2","2.419","7.245","7.896","5","6","6","6","5","What I would use it on in my own house - countertops and bathrooms","3.247","23.024","23.747","18","7","5","5","5","5","7","5","5","5","5","5","5","5","6","0","0","1.888","0","2.765","11.169","11.875","8","5","5","5","5","5","5","5","2.198","13.033","13.785","9","5","5","5","5","4.9","5","5","5","2","6","6","3","1","1","2","6","28","1","2","1","1","Study advertisement ","clean_low","thought_time|thought_intro|stores|package_apperance|other_products|smell|ways_to_use|cleaning_ability|other_versions|active_ingred|cost|color|anti_bacterial|effectiveness|Dettol|ad_appearance",8,8,1,1,0,1,0,1920,1080,0
"2020-07-07 08:44:56","2020-07-07 08:50:31","0","100","335","1","2020-07-07 08:50:31","R_2zooJEJVYInLcRN","","","","","anonymous","EN","Chrome","83.0.4103.116","Windows NT 10.0","1366x768","1","0","0","11.523","0","16.573","16.573","17.862","1","3.743","12.858","14.052","5","8","9","8","8","I thought about the fact that the name could be more appealing. ","3.826","63.368","64.282","23","9","8","9","8","1","7","4","6","7","8","6","9","1","5","7.194","7.194","8.043","1","8.598","39.302","40.319","13","6","2","5","8","5","8","7","3.208","22.809","24.275","6","8","5","6","6","3.51","7","9","5","3","9","9","1","1","1","2","8","45","2","2","1","1","To see how marketing decisions impact our perception of products.","clean_low","thought_time|thought_intro|ways_to_use|other_versions|stores|color|effectiveness|package_apperance|active_ingred|anti_bacterial|Dettol|cost|smell|other_products|cleaning_ability|ad_appearance",9,9,1,1,0,1,0,1366,768,0
"2020-07-07 08:44:58","2020-07-07 08:51:29","0","100","390","1","2020-07-07 08:51:29","R_D667d4GxAxwSyOt","","","","","anonymous","EN","Chrome","83.0.4103.116","Windows NT 10.0","1920x1080","1","0","0","13.562","0","0","0","37.908","0","8.062","18.278","19.564","4","5","6","6","5","Where are the details???","12.864","61.959","63.35","14","5","8","7","7","7","6","2","7","2","3","1","3","1","6","0","0","12.261","0","8.969","55.174","56.575","7","1","5","3","4","4","6","8","7.414","31.554","32.894","6","2","5","4","4","1.96","7","5","3","5","8","7","1","1","6","2","8","47","1","2","1","1","To see how effective certain aspects of advertisements are.","clean_high","thought_time|thought_intro|color|cleaning_ability|cost|ad_appearance|Dettol|anti_bacterial|smell|other_products|stores|active_ingred|other_versions|package_apperance|ways_to_use|effectiveness",10,10,1,1,0,1,0,1920,1080,0
